alpha,Cl,Cd
-7.26,-0.323,0.144
-6.23,-0.301,0.1257
-5.17,-0.025,0.0434
-4.13,0.112,0.0368
-3.07,0.258,0.0357
-2.04,0.378,0.0362
-1,0.473,0.0403
-0.01,0.547,0.0456
1.04,0.613,0.0532
2.02,0.673,0.0592
3.07,0.878,0.0405
4.08,1.046,0.0283
5.16,1.171,0.0246
6.13,1.263,0.0235
7.23,1.359,0.0242
8.2,1.429,0.026
9.24,1.489,0.0295
10.22,1.523,0.035
11.29,1.519,0.0505
12.24,1.494,0.0744
13.23,1.462,0.1096
,,
alpha,Cl,Cd
-7.2,-0.145,0.1164
-6.13,0.037,0.046
-5.1,0.198,0.0281
-4.08,0.33,0.0229
-3.04,0.457,0.0205
-2.02,0.573,0.0194
-0.99,0.678,0.0197
-0.01,0.774,0.0206
1.05,0.88,0.0203
2.11,0.988,0.0185
3.11,1.079,0.0178
4.12,1.169,0.0174
5.16,1.243,0.0202
6.18,1.313,0.0233
7.19,1.366,0.0273
8.2,1.413,0.0322
9.21,1.443,0.0396
10.23,1.465,0.0516
11.22,1.476,0.074
12.23,1.484,0.0943
13.22,1.486,0.1105
,,
alpha,Cl,Cd
-7.18,-0.079,0.0892
-6.07,0.114,0.0287
-5.1,0.235,0.0204
-4.06,0.352,0.0169
-3,0.462,0.0155
-2.05,0.561,0.0152
-1,0.67,0.0147
0.08,0.787,0.0139
1.06,0.883,0.0146
2.13,0.971,0.0155
3.11,1.04,0.0186
4.12,1.119,0.02
5.13,1.197,0.0221
6.16,1.263,0.0251
7.17,1.325,0.0284
8.17,1.376,0.0328
9.23,1.413,0.0416
10.2,1.437,0.0562
,,
alpha,Cl,Cd
-7.15,-0.033,0.0711
-6.07,0.139,0.0158
-5.09,0.248,0.0142
-4.07,0.364,0.0121
-3.05,0.479,0.0119
-2,0.581,0.0115
-1,0.666,0.0129
0.03,0.759,0.0149
1.07,0.855,0.016
2.11,0.95,0.0173
3.12,1.042,0.0188
4.13,1.129,0.0207
5.14,1.205,0.0225
6.16,1.289,0.0248
7.19,1.348,0.0278
8.19,1.388,0.0335
9.23,1.422,0.044
10.22,1.448,0.0607
,,
alpha,Cl,Cd
-7.21,-0.027,0.0675
-6.13,0.142,0.0144
-5.09,0.26,0.0115
-4.07,0.366,0.0111
-3.09,0.463,0.0112
-2.02,0.572,0.0121
-0.99,0.667,0.0133
-0.02,0.749,0.0145
1.07,0.853,0.0158
2.08,0.943,0.0171
3.06,1.032,0.0183
4.16,1.135,0.0201
5.18,1.218,0.0221
6.16,1.287,0.0248
7.21,1.35,0.0294
8.22,1.395,0.0362
9.23,1.431,0.0486
10.22,1.456,0.0667
